chalcopyrite1.jpg,chalcopyrite2.png,chalcopyrite3.png,pyrite1.png,pyrite2.png
18.0,39,173.0,44.0,53.0
9.0,242,65.0,12.0,75.0
24.0,54,19.0,69.0,12.0
19.0,75,9.0,132.0,21.0
43.0,368,9.0,61.0,35.0
35.0,27,9.0,18.0,72.0
17.0,217,19.0,9.0,12.0
18.0,106,9.0,91.0,429.0
32.0,31,280.0,16.0,9.0
9.0,24,9.0,9.0,12.0
12.0,166,19.0,9.0,161.0
9.0,106,26.0,73.0,32.0
32.0,173,135.0,12.0,15.0
15.0,22,116.0,21.0,9.0
89.0,16,30.0,87.0,29.0
40.0,77,37.0,9.0,27.0
9.0,256,35.0,21.0,50.0
9.0,44,12.0,9.0,9.0
12.0,18,9.0,23.0,15.0
9.0,21,17.0,15.0,12.0
18.0,143,36.0,9.0,273.0
12.0,15,95.0,9.0,18.0
12.0,222,20.0,70.0,17.0
9.0,101,210.0,48.0,9.0
9.0,20,14.0,194.0,9.0
9.0,230,14.0,118.0,154.0
9.0,21,35.0,12.0,9.0
9.0,1284,31.0,9.0,75.0
15.0,23,14.0,15.0,33.0
27.0,18,32.0,3385.0,38.0
12.0,58,12.0,24.0,18.0
18.0,763,65.0,15.0,15.0
54.0,49,9.0,190.0,41.0
39.0,26,47.0,9.0,21.0
9.0,171,16.0,18.0,176.0
24.0,33,58.0,86.0,62.0
9.0,15,22.0,63.0,9.0
15.0,18,12.0,22.0,192.0
